############################
############################
########## SHAYNI ##########
############################
############################

###
# Short dictionary of how the dynasties are split into kingdoms:
# - Lyneria
# - Gan
# - Senga Muta
###

#################
###           ###
###  Lyneria  ###
###           ###
#################

################
### Dynasty dynasty_calynor
################

lineofcalynor1 = {
	name = Ramisht
	trait = bossy
	6822.02.20 = {
	    birth = yes
	}
	6838.02.20 = {  
	    trait = wrathful
	    trait = humble
	    trait = content
	}
	6844.10.22 = {  # Married at age 22
	    add_spouse = lineoflymara28
	}
	6894.03.12 = {  # Died at age 72
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor9 = {
	name = Zohreh
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor7
	mother = lineofvalora17

	sexuality = heterosexual

	diplomacy = 5
	martial = 1
	stewardship = 3
	intrigue = 4
	learning = 1
	prowess = 1

	trait = education_diplomacy_3

	trait = charming
	6824.05.27 = {
	    birth = yes
	}
	6840.05.27 = {  
	    trait = deceitful
	    trait = lustful
	    trait = sadistic
	}
	6891.11.19 = {  # Died at age 67
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor10 = {
	name = Roshan
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor7
	mother = lineofvalora17

	sexuality = heterosexual

	diplomacy = 6
	martial = 5
	stewardship = 5
	intrigue = 5
	learning = 6
	prowess = 2

	trait = education_intrigue_3

	trait = charming
	6826.08.27 = {
	    birth = yes
	}
	6842.08.27 = {  
	    trait = honest
	    trait = shy
	    trait = lazy
	}
	6846.09.11 = {  # Married at age 20
	    add_spouse = lineofemayna19
	}
	6923.04.27 = {  # Died at age 96
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor11 = {
	name = Hutoxi
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor7
	mother = lineofvalora17

	sexuality = heterosexual

	diplomacy = 7
	martial = 5
	stewardship = 1
	intrigue = 3
	learning = 3
	prowess = 4

	trait = education_diplomacy_4
	trait = wheezing

	trait = charming
	6832.06.20 = {
	    birth = yes
	}
	6848.06.20 = {  
	    trait = calm
	    trait = chaste
	    trait = impatient
	}
	6915.07.22 = {  # Died at age 83
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor12 = {
	name = Advi
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor10
	mother = lineofemayna19

	sexuality = heterosexual

	diplomacy = 6
	martial = 6
	stewardship = 3
	intrigue = 3
	learning = 4
	prowess = 5

	trait = education_martial_3

	trait = curious
	6851.03.28 = {
	    birth = yes
	}
	6867.03.28 = {  
	    trait = gluttonous
	    trait = vengeful
	    trait = diligent
	}
	6869.05.17 = {  # Married at age 18
	    add_spouse = lineoflyvara14
	}
	6920.05.14 = {  # Died at age 69
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor13 = {
	name = Noved
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor8
	mother = lineoflymara28

	sexuality = heterosexual

	diplomacy = 6
	martial = 4
	stewardship = 6
	intrigue = 7
	learning = 7
	prowess = 6

	trait = education_learning_2

	trait = curious
	6851.04.28 = {
	    birth = yes
	}
	6867.04.28 = {  
	    trait = gregarious
	    trait = patient
	    trait = wrathful
	}
	6870.05.01 = {  # Married at age 19
	    add_spouse = lineofnymara23
	}
	6917.04.04 = {  # Died at age 65
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor14 = {
	name = Zohreh
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor10
	mother = lineofemayna19

	sexuality = heterosexual

	diplomacy = 5
	martial = 7
	stewardship = 4
	intrigue = 1
	learning = 1
	prowess = 4

	trait = education_martial_4

	trait = bossy
	6853.12.08 = {
	    birth = yes
	}
	6869.12.08 = {  
	    trait = just
	    trait = gluttonous
	    trait = vengeful
	}
	6934.10.13 = {  # Died at age 80
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor15 = {
	name = Farrokhbondad
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor10
	mother = lineofemayna19

	sexuality = heterosexual

	diplomacy = 6
	martial = 4
	stewardship = 3
	intrigue = 4
	learning = 5
	prowess = 7

	trait = education_martial_1

	trait = curious
	6860.05.21 = {
	    birth = yes
	}
	6876.05.21 = {  
	    trait = craven
	    trait = lazy
	    trait = stubborn
	}
	6899.03.27 = {  # Married at age 38
	    add_spouse = lineofcalynor27
	}
	6945.11.03 = {  # Died at age 85
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor16 = {
	name = Homai
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor8
	mother = lineoflymara28

	sexuality = heterosexual

	diplomacy = 2
	martial = 3
	stewardship = 2
	intrigue = 2
	learning = 5
	prowess = 2

	trait = education_martial_1

	trait = curious
	6866.11.02 = {
	    birth = yes
	}
	6882.11.02 = {  
	    trait = gluttonous
	    trait = impatient
	    trait = arbitrary
	}
	6951.03.21 = {  # Died at age 84
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor17 = {
	name = Vishnasp
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor12
	mother = lineoflyvara14

	sexuality = heterosexual

	diplomacy = 5
	martial = 5
	stewardship = 2
	intrigue = 6
	learning = 5
	prowess = 5

	trait = education_intrigue_4

	trait = charming
	6871.08.15 = {
	    birth = yes
	}
	6887.08.15 = {  
	    trait = vengeful
	    trait = generous
	    trait = gregarious
	}
	6899.12.03 = {  # Married at age 28
	    add_spouse = lineofcalynor26
	}
	6948.06.02 = {  # Died at age 76
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor18 = {
	name = Bahram
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor13
	mother = lineofnymara23

	sexuality = heterosexual

	diplomacy = 3
	martial = 5
	stewardship = 6
	intrigue = 6
	learning = 8
	prowess = 5

	trait = education_martial_1

	trait = curious
	6874.02.09 = {
	    birth = yes
	}
	6890.02.09 = {  
	    trait = greedy
	    trait = callous
	    trait = lustful
	}
	6895.08.27 = {  # Married at age 21
	    add_spouse = lineofnymara32
	}
	6961.09.28 = {  # Died at age 87
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor19 = {
	name = Purgav
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor12
	mother = lineoflyvara14

	sexuality = heterosexual

	diplomacy = 4
	martial = 6
	stewardship = 5
	intrigue = 8
	learning = 5
	prowess = 5

	trait = education_diplomacy_2

	trait = charming
	6875.09.15 = {
	    birth = yes
	}
	6878.02.11 = {  # Died at age 2
	    death = { death_reason = death_ill }
	}
}

lineofcalynor20 = {
	name = Banugul
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor13
	mother = lineofnymara23

	sexuality = heterosexual

	diplomacy = 4
	martial = 4
	stewardship = 5
	intrigue = 9
	learning = 4
	prowess = 5

	trait = education_martial_3

	trait = bossy
	6877.07.21 = {
	    birth = yes
	}
	6893.07.21 = {  
	    trait = humble
	    trait = fickle
	    trait = trusting
	}
	6970.12.13 = {  # Died at age 93
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor21 = {
	name = Porgav
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor12
	mother = lineoflyvara14

	sexuality = heterosexual

	diplomacy = 5
	martial = 3
	stewardship = 2
	intrigue = 4
	learning = 8
	prowess = 3

	trait = education_learning_1

	trait = curious
	6878.04.09 = {
	    birth = yes
	}
	6894.04.09 = {  
	    trait = wrathful
	    trait = greedy
	    trait = vengeful
	}
	6895.09.24 = {  # Married at age 17
	    add_spouse = lineofnymara31
	}
	6970.06.09 = {  # Died at age 92
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor22 = {
	name = Aspandyar
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor13
	mother = lineofnymara23

	sexuality = heterosexual

	diplomacy = 5
	martial = 4
	stewardship = 7
	intrigue = 5
	learning = 2
	prowess = 4

	trait = education_stewardship_3

	trait = bossy
	6881.01.25 = {
	    birth = yes
	}
	6897.01.25 = {  
	    trait = just
	    trait = temperate
	    trait = patient
	}
	6899.07.04 = {  # Married at age 18
	    add_spouse = lineofpharala32
	}
	6945.07.19 = {  # Died at age 64
	    death = { death_reason = death_attacked }
	}
}

lineofcalynor23 = {
	name = Gulshirin
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor12
	mother = lineoflyvara14

	sexuality = heterosexual

	diplomacy = 3
	martial = 4
	stewardship = 2
	intrigue = 1
	learning = 2
	prowess = 3

	trait = education_martial_2

	trait = bossy
	6882.11.10 = {
	    birth = yes
	}
	6898.11.10 = {  
	    trait = greedy
	    trait = temperate
	    trait = craven
	}
	6928.11.25 = {  # Died at age 46
	    death = { death_reason = death_murder }
	}
}

lineofcalynor24 = {
	name = Ashtad
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor13
	mother = lineofnymara23

	sexuality = heterosexual

	diplomacy = 5
	martial = 5
	stewardship = 1
	intrigue = 7
	learning = 2
	prowess = 7

	trait = education_intrigue_3

	trait = charming
	6883.12.21 = {
	    birth = yes
	}
	6899.12.21 = {  
	    trait = just
	    trait = fickle
	    trait = callous
	}
	6914.08.06 = {  # Married at age 30
	    add_spouse = lineofcalynor39
	}
	6966.12.10 = {  # Died at age 82
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor25 = {
	name = Aziedokht
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor21
	mother = lineofnymara31

	sexuality = heterosexual

	diplomacy = 6
	martial = 3
	stewardship = 4
	intrigue = 3
	learning = 4
	prowess = 5

	trait = education_intrigue_2

	trait = charming
	6897.07.04 = {
	    birth = yes
	}
	6913.07.04 = {  
	    trait = forgiving
	    trait = arbitrary
	    trait = temperate
	}
	6988.08.22 = {  # Died at age 91
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor26 = {
	name = Sanaz
	female = yes
	culture = lynerian
	religion = faith_ulokan

	sexuality = heterosexual

	diplomacy = 5
	martial = 4
	stewardship = 2
	intrigue = 4
	learning = 4
	prowess = 4

	trait = education_diplomacy_2

	trait = curious
	6881.11.21 = {
	    birth = yes
	}
	6897.11.21 = {  
	    trait = deceitful
	    trait = arrogant
	    trait = compassionate
	}
	6969.05.22 = {  # Died at age 87
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor27 = {
	name = Yazdoi
	female = yes
	culture = lynerian
	religion = faith_ulokan

	sexuality = heterosexual

	diplomacy = 6
	martial = 2
	stewardship = 3
	intrigue = 5
	learning = 2
	prowess = 4

	trait = education_martial_2

	trait = bossy
	6876.09.01 = {
	    birth = yes
	}
	6892.09.01 = {  
	    trait = calm
	    trait = vengeful
	    trait = lustful
	}
	6959.09.24 = {  # Died at age 83
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor28 = {
	name = Arvand
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor21
	mother = lineofnymara31

	sexuality = heterosexual

	diplomacy = 3
	martial = 6
	stewardship = 4
	intrigue = 3
	learning = 3
	prowess = 5

	trait = education_learning_3

	trait = pensive
	6899.05.04 = {
	    birth = yes
	}
	6915.05.04 = {  
	    trait = craven
	    trait = chaste
	    trait = just
	}
	6992.05.22 = {  # Died at age 93
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor29 = {
	name = Mahdat
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor18
	mother = lineofnymara32

	sexuality = heterosexual

	diplomacy = 3
	martial = 1
	stewardship = 6
	intrigue = 1
	learning = 4
	prowess = 2

	trait = education_diplomacy_1

	trait = curious
	6901.05.18 = {
	    birth = yes
	}
	6917.05.18 = {  
	    trait = callous
	    trait = lustful
	    trait = paranoid
	}
	6921.06.20 = {  # Married at age 20
	    add_spouse = lineofvalora63
	}
	6967.10.14 = {  # Died at age 66
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor30 = {
	name = Artdokht
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor21
	mother = lineofnymara31

	sexuality = heterosexual

	diplomacy = 6
	martial = 4
	stewardship = 5
	intrigue = 4
	learning = 5
	prowess = 8

	trait = education_diplomacy_4

	trait = curious
	6902.05.27 = {
	    birth = yes
	}
	6918.05.27 = {  
	    trait = wrathful
	    trait = paranoid
	    trait = impatient
	}
	6976.01.12 = {  # Died at age 73
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor31 = {
	name = Shirinbanu
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor17
	mother = lineofcalynor26

	sexuality = heterosexual

	diplomacy = 4
	martial = 3
	stewardship = 6
	intrigue = 5
	learning = 3
	prowess = 2

	trait = education_stewardship_2

	trait = pensive
	6903.08.13 = {
	    birth = yes
	}
	6919.08.13 = {  
	    trait = ambitious
	    trait = paranoid
	    trait = eccentric
	}
	6983.01.19 = {  # Died at age 79
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor32 = {
	name = Orvadasp
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor22
	mother = lineofpharala32

	sexuality = heterosexual

	diplomacy = 2
	martial = 5
	stewardship = 2
	intrigue = 5
	learning = 4
	prowess = 3

	trait = education_intrigue_3
	trait = intellect_good_2

	trait = charming
	6904.10.18 = {
	    birth = yes
	}
	6920.10.18 = {  
	    trait = content
	    trait = wrathful
	    trait = fickle
	}
	6922.04.13 = {  # Married at age 17
	    add_spouse = lineofsharynor40
	}
	6972.08.19 = {  # Died at age 67
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor33 = {
	name = Zarmandokht
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor18
	mother = lineofnymara32

	sexuality = heterosexual

	diplomacy = 6
	martial = 5
	stewardship = 6
	intrigue = 7
	learning = 4
	prowess = 3

	trait = education_martial_2
	trait = physique_good_3

	trait = bossy
	6906.11.01 = {
	    birth = yes
	}
	6922.11.01 = {  
	    trait = forgiving
	    trait = fickle
	    trait = chaste
	}
	6993.07.17 = {  # Died at age 86
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor34 = {
	name = Vispanfriva
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor17
	mother = lineofcalynor26

	sexuality = heterosexual

	diplomacy = 2
	martial = 5
	stewardship = 5
	intrigue = 3
	learning = 6
	prowess = 5

	trait = education_stewardship_3

	trait = bossy
	6909.06.16 = {
	    birth = yes
	}
	6925.06.16 = {  
	    trait = arrogant
	    trait = zealous
	    trait = compassionate
	}
	6992.11.15 = {  # Died at age 83
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor35 = {
	name = Zirakzadeh
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor18
	mother = lineofnymara32

	sexuality = heterosexual

	diplomacy = 5
	martial = 3
	stewardship = 5
	intrigue = 7
	learning = 5
	prowess = 3

	trait = education_diplomacy_2

	trait = curious
	6911.10.26 = {
	    birth = yes
	}
	6927.10.26 = {  
	    trait = zealous
	    trait = brave
	    trait = vengeful
	}
	6959.08.10 = {  # Married at age 47
	    add_spouse = lineofvalora72
	}
	6983.10.13 = {  # Died at age 71
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor36 = {
	name = Gushtas
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor17
	mother = lineofcalynor26

	sexuality = heterosexual

	diplomacy = 4
	martial = 4
	stewardship = 3
	intrigue = 5
	learning = 4
	prowess = 2

	trait = education_stewardship_2

	trait = bossy
	6911.10.24 = {
	    birth = yes
	}
	6927.10.24 = {  
	    trait = generous
	    trait = vengeful
	    trait = trusting
	}
	6949.03.02 = {  # Married at age 37
	    add_spouse = lineofcalynor52
	}
	6977.05.18 = {  # Died at age 65
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor37 = {
	name = Smardis
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor15
	mother = lineofcalynor27

	sexuality = heterosexual

	diplomacy = 4
	martial = 2
	stewardship = 7
	intrigue = 3
	learning = 1
	prowess = 2

	trait = education_stewardship_2

	trait = bossy
	6911.04.02 = {
	    birth = yes
	}
	6927.04.02 = {  
	    trait = wrathful
	    trait = deceitful
	    trait = arbitrary
	}
	6944.04.08 = {  # Married at age 33
	    add_spouse = lineofcalynor49
	}
	6976.11.21 = {  # Died at age 65
	    death = { death_reason = death_ill }
	}
}

lineofcalynor38 = {
	name = Adarfiroz
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor22
	mother = lineofpharala32

	sexuality = heterosexual

	diplomacy = 5
	martial = 1
	stewardship = 6
	intrigue = 5
	learning = 2
	prowess = 4

	trait = education_martial_1

	trait = curious
	6913.01.17 = {
	    birth = yes
	}
	6929.01.17 = {  
	    trait = forgiving
	    trait = paranoid
	    trait = compassionate
	}
	6955.01.03 = {  # Married at age 41
	    add_spouse = lineofsylara37
	}
	6994.05.27 = {  # Died at age 81
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor39 = {
	name = Dadhushfarrokh
	female = yes
	culture = lynerian
	religion = faith_ulokan

	sexuality = heterosexual

	diplomacy = 3
	martial = 1
	stewardship = 6
	intrigue = 4
	learning = 6
	prowess = 3

	trait = education_stewardship_2

	trait = pensive
	6895.09.09 = {
	    birth = yes
	}
	6911.09.09 = {  
	    trait = callous
	    trait = greedy
	    trait = paranoid
	}
	6980.07.17 = {  # Died at age 84
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor40 = {
	name = Hoshedarmah
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor18
	mother = lineofnymara32

	sexuality = heterosexual

	diplomacy = 4
	martial = 8
	stewardship = 5
	intrigue = 1
	learning = 4
	prowess = 1

	trait = education_diplomacy_2

	trait = curious
	6916.06.12 = {
	    birth = yes
	}
	6932.06.12 = {  
	    trait = paranoid
	    trait = vengeful
	    trait = just
	}
	7000.02.28 = {  # Died at age 83
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor41 = {
	name = Adel
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor22
	mother = lineofpharala32

	sexuality = heterosexual

	diplomacy = 5
	martial = 1
	stewardship = 3
	intrigue = 4
	learning = 4
	prowess = 1

	trait = education_learning_2

	6920.10.15 = {
	    birth = yes
	}
	6922.02.03 = {  # Died at age 1
	    death = { death_reason = death_ill }
	}
}

lineofcalynor42 = {
	name = Farrokhnezad
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor29
	mother = lineofvalora63

	sexuality = heterosexual

	diplomacy = 3
	martial = 7
	stewardship = 4
	intrigue = 2
	learning = 6
	prowess = 1

	trait = education_martial_2

	trait = rowdy
	6922.03.01 = {
	    birth = yes
	}
	6938.03.01 = {  
	    trait = calm
	    trait = fickle
	    trait = deceitful
	}
	6946.05.28 = {  # Married at age 24
	    add_spouse = lineofsylara42
	}
	6992.07.24 = {  # Married at age 70
	    add_spouse = lineofpharala46
	}
	7009.09.14 = {  # Died at age 87
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor43 = {
	name = Ramisht
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor24
	mother = lineofcalynor39

	sexuality = heterosexual

	diplomacy = 9
	martial = 1
	stewardship = 8
	intrigue = 5
	learning = 3
	prowess = 5

	trait = education_stewardship_1
	trait = fecund

	trait = bossy
	6922.05.02 = {
	    birth = yes
	}
	6938.05.02 = {  
	    trait = diligent
	    trait = sadistic
	    trait = shy
	}
	6943.12.08 = {  # Married at age 21
	    add_spouse = lineofpharala49
	}
	6995.02.02 = {  # Died at age 72
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor44 = {
	name = Gushnasp
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor32
	mother = lineofsharynor40

	sexuality = heterosexual

	diplomacy = 4
	martial = 2
	stewardship = 8
	intrigue = 3
	learning = 7
	prowess = 4

	trait = education_learning_3

	trait = pensive
	6924.11.22 = {
	    birth = yes
	}
	6940.11.22 = {  
	    trait = sadistic
	    trait = gluttonous
	    trait = shy
	}
	6979.10.10 = {  # Married at age 54
	    add_spouse = lineofsylara47
	}
	6997.04.01 = {  # Died at age 72
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor45 = {
	name = Khubruy
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor32
	mother = lineofsharynor40

	sexuality = heterosexual

	diplomacy = 4
	martial = 10
	stewardship = 2
	intrigue = 7
	learning = 2
	prowess = 4

	trait = education_martial_3
	trait = beauty_good_1

	trait = rowdy
	6926.05.24 = {
	    birth = yes
	}
	6942.05.24 = {  
	    trait = paranoid
	    trait = temperate
	    trait = compassionate
	}
	6946.12.17 = {  # Married at age 20
	    add_spouse = lineofsylara45
	}
	7010.04.05 = {  # Died at age 83
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor46 = {
	name = Habub
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor32
	mother = lineofsharynor40

	sexuality = heterosexual

	diplomacy = 2
	martial = 3
	stewardship = 4
	intrigue = 3
	learning = 2
	prowess = 5

	trait = education_learning_2
	trait = intellect_good_1

	trait = pensive
	6934.05.24 = {
	    birth = yes
	}
	6950.05.24 = {  
	    trait = impatient
	    trait = vengeful
	    trait = arrogant
	}
	6954.01.03 = {  # Married at age 19
	    add_spouse = lineofnymara51
	}
	7003.03.12 = {  # Died at age 68
	    death = { death_reason = death_natural_causes }
	}
}

lineofcalynor47 = {
	name = Vashta
	female = yes
	culture = lynerian
	religion = faith_ulokan

	dynasty = dynasty_calynor
	father = lineofcalynor29
	mother = lineofvalora63

	sexuality = heterosexual

	diplomacy = 5
	martial = 5
	stewardship = 1
	intrigue = 6
	learning = 2
	prowess = 8

	trait = education_intrigue_1

	trait = rowdy
	6938.11.25 = {
	    birth = yes
	}
	6944.11.25 = {
		trait = brave
		trait = humble
		trait = greedy
	}
	6949.9.12 = {
		religion = faith_uzdava
	}
	7001.05.02 = {  # Died at age 62
	    death = { death_reason = death_ill }
	}
}

lineofcalynor48 = {
